"position","const","created","modified","description","Name","Known for","Birth date (month/day/year)",
"519","nm1519666","Sun Mar  8 12:11:04 2015","Sun Mar  8 12:11:04 2015","","Eddie Redmayne","Actor, <a href=""http://www.imdb.com/title/tt2980516/"">The Theory of Everything</a>","1982-01-06"

"520","nm0000657","Mon Mar 10 10:58:31 2014","Mon Mar 10 10:58:31 2014","","David Strathairn","Actor, <a href=""http://www.imdb.com/title/tt0440963/"">The Bourne Ultimatum</a>","1949-01-26"

"521","nm0005024","Mon Mar 10 10:58:43 2014","Mon Mar 10 10:58:43 2014","","Terrence Howard","Actor, <a href=""http://www.imdb.com/title/tt0371746/"">Iron Man</a>","1969-03-11"

"522","nm0000332","Mon Mar 10 10:58:51 2014","Mon Mar 10 10:58:51 2014","","Don Cheadle","Actor, <a href=""http://www.imdb.com/title/tt0375679/"">Crash</a>","1964-11-29"

"523","nm0929489","Mon Mar 10 10:58:59 2014","Mon Mar 10 10:58:59 2014","","Tom Wilkinson","Actor, <a href=""http://www.imdb.com/title/tt0372784/"">Batman Begins</a>","1948-02-05"

"524","nm0002070","Mon Mar 10 11:00:08 2014","Mon Mar 10 11:00:08 2014","","Richard Farnsworth","Actor, <a href=""http://www.imdb.com/title/tt0100157/"">Misery</a>","1920-09-01"

"525","nm0000560","Mon Mar 10 11:00:18 2014","Mon Mar 10 11:00:18 2014","","Nick Nolte","Actor, <a href=""http://www.imdb.com/title/tt0120863/"">The Thin Red Line</a>","1941-02-08"

"551","nm0001228","Mon Mar 10 11:06:14 2014","Mon Mar 10 11:06:14 2014","","Peter Fonda","Actor, <a href=""http://www.imdb.com/title/tt0064276/"">Easy Rider</a>","1940-02-23"

"552","nm0000437","Mon Mar 10 11:06:24 2014","Mon Mar 10 11:06:24 2014","","Woody Harrelson","Actor, <a href=""http://www.imdb.com/title/tt0477348/"">No Country for Old Men</a>","1961-07-23"

"553","nm0000671","Mon Mar 10 11:06:32 2014","Mon Mar 10 11:06:32 2014","","Billy Bob Thornton","Actor, <a href=""http://www.imdb.com/title/tt0120591/"">Armageddon</a>","1955-08-04"

"554","nm0252961","Mon Mar 10 11:07:45 2014","Mon Mar 10 11:07:45 2014","","Idris Elba","Actor, <a href=""http://www.imdb.com/title/tt1446714/"">Prometheus</a>","1972-09-06"

"555","nm0001329","Mon Mar 10 11:08:05 2014","Mon Mar 10 11:08:05 2014","","Nigel Hawthorne","Actor, <a href=""http://www.imdb.com/title/tt0118607/"">Amistad</a>","1929-04-05"

"556","nm0000401","Mon Mar 10 11:08:19 2014","Mon Mar 10 11:08:19 2014","","Laurence Fishburne","Actor, <a href=""http://www.imdb.com/title/tt0133093/"">The Matrix</a>","1961-07-30"

"557","nm0001653","Mon Mar 10 11:08:27 2014","Mon Mar 10 11:08:27 2014","","Stephen Rea","Actor, <a href=""http://www.imdb.com/title/tt0434409/"">V for Vendetta</a>","1946-10-31"

"558","nm0000886","Mon Mar 10 11:08:37 2014","Mon Mar 10 11:08:37 2014","","Warren Beatty","Actor, <a href=""http://www.imdb.com/title/tt0061418/"">Bonnie and Clyde</a>","1937-03-30"

"559","nm0000367","Mon Mar 10 11:08:49 2014","Mon Mar 10 11:08:49 2014","","Gérard Depardieu","Actor, <a href=""http://www.imdb.com/title/tt0454876/"">Life of Pi</a>","1948-12-27"

"560","nm0001321","Mon Mar 10 11:09:00 2014","Mon Mar 10 11:09:00 2014","","Richard Harris","Actor, <a href=""http://www.imdb.com/title/tt0241527/"">Harry Potter and the Sorcerer's Stone</a>","1930-10-01"

"561","nm0000110","Mon Mar 10 11:09:10 2014","Mon Mar 10 11:09:10 2014","","Kenneth Branagh","Actor, <a href=""http://www.imdb.com/title/tt0985699/"">Valkyrie</a>","1960-12-10"

"562","nm0001579","Mon Mar 10 11:09:21 2014","Mon Mar 10 11:09:21 2014","","Edward James Olmos","Actor, <a href=""http://www.imdb.com/title/tt0083658/"">Blade Runner</a>","1947-02-24"

"563","nm0001884","Mon Mar 10 11:09:37 2014","Mon Mar 10 11:09:37 2014","","Max von Sydow","Actor, <a href=""http://www.imdb.com/title/tt1130884/"">Shutter Island</a>","1929-04-10"

"564","nm0000052","Mon Mar 10 11:10:52 2014","Mon Mar 10 11:10:52 2014","","Marcello Mastroianni","Actor, <a href=""http://www.imdb.com/title/tt0056801/"">8½</a>","1924-09-28"

"565","nm0001364","Mon Mar 10 11:11:40 2014","Mon Mar 10 11:11:40 2014","","Bob Hoskins","Actor, <a href=""http://www.imdb.com/title/tt0096438/"">Who Framed Roger Rabbit</a>","1942-10-26"

"566","nm0000249","Mon Mar 10 11:11:48 2014","Mon Mar 10 11:11:48 2014","","James Woods","Actor, <a href=""http://www.imdb.com/title/tt0087843/"">Once Upon a Time in America</a>","1947-04-18"

"567","nm0370035","Mon Mar 10 11:12:37 2014","Mon Mar 10 11:12:37 2014","","John Hawkes","Actor, <a href=""http://www.imdb.com/title/tt0765429/"">American Gangster</a>","1959-09-11"

"568","nm0001258","Mon Mar 10 11:12:50 2014","Mon Mar 10 11:12:50 2014","","James Garner","Actor, <a href=""http://www.imdb.com/title/tt0332280/"">The Notebook</a>","1928-04-07"

"569","nm0001832","Mon Mar 10 11:12:59 2014","Mon Mar 10 11:12:59 2014","","Sam Waterston","Actor, <a href=""http://www.imdb.com/title/tt0087553/"">The Killing Fields</a>","1940-11-15"

"570","nm0001371","Mon Mar 10 11:13:05 2014","Mon Mar 10 11:13:05 2014","","Tom Hulce","Actor, <a href=""http://www.imdb.com/title/tt0086879/"">Amadeus</a>","1953-12-06"

"571","nm0001215","Mon Mar 10 11:13:15 2014","Mon Mar 10 11:13:15 2014","","Albert Finney","Actor, <a href=""http://www.imdb.com/title/tt0319061/"">Big Fish</a>","1936-05-09"

"572","nm0002018","Mon Mar 10 11:13:23 2014","Mon Mar 10 11:13:23 2014","","Tom Conti","Actor, <a href=""http://www.imdb.com/title/tt1345836/"">The Dark Knight Rises</a>","1941-11-22"

"573","nm0183822","Mon Mar 10 11:13:32 2014","Mon Mar 10 11:13:32 2014","","Tom Courtenay","Actor, <a href=""http://www.imdb.com/title/tt0059113/"">Doctor Zhivago</a>","1937-02-25"

"574","nm0001545","Mon Mar 10 11:13:42 2014","Mon Mar 10 11:13:42 2014","","Dudley Moore","Actor, <a href=""http://www.imdb.com/title/tt0082031/"">Arthur</a>","1935-04-19"

"575","nm0000457","Mon Mar 10 11:13:48 2014","Mon Mar 10 11:13:48 2014","","John Hurt","Actor, <a href=""http://www.imdb.com/title/tt0434409/"">V for Vendetta</a>","1940-01-22"

"601","nm1209966","Mon Mar 10 11:26:24 2014","Mon Mar 10 11:26:24 2014","","Oscar Isaac","Actor, <a href=""http://www.imdb.com/title/tt2042568/"">Inside Llewyn Davis</a>","1979-03-09"

"602","nm1417647","Mon Mar 10 11:26:30 2014","Mon Mar 10 11:26:30 2014","","Jon Heder","Actor, <a href=""http://www.imdb.com/title/tt0374900/"">Napoleon Dynamite</a>","1977-10-26"

"603","nm1886602","Mon Mar 10 11:26:37 2014","Mon Mar 10 11:26:37 2014","","Miles Teller","Actor, <a href=""http://www.imdb.com/title/tt2582802/"">Whiplash</a>","1987-02-20"

"604","nm0117709","Mon Mar 10 11:26:47 2014","Mon Mar 10 11:26:47 2014","","Daniel Brühl","Actor, <a href=""http://www.imdb.com/title/tt0361748/"">Inglourious Basterds</a>","1978-06-16"

"605","nm0001254","Mon Mar 10 11:26:55 2014","Mon Mar 10 11:26:55 2014","","James Gandolfini","Actor, <a href=""http://www.imdb.com/title/tt0243133/"">The Man Who Wasn't There</a>","1961-09-18"

"606","nm0430107","Mon Mar 10 11:27:08 2014","Mon Mar 10 11:27:08 2014","","Michael B. Jordan","Actor, <a href=""http://www.imdb.com/title/tt3076658/"">Creed</a>","1987-02-09"

"607","nm0000578","Mon Mar 10 11:27:16 2014","Mon Mar 10 11:27:16 2014","","Anthony Perkins","Actor, <a href=""http://www.imdb.com/title/tt0054215/"">Psycho</a>","1932-04-04"

"608","nm0000667","Mon Mar 10 11:27:24 2014","Mon Mar 10 11:27:24 2014","","David Thewlis","Actor, <a href=""http://www.imdb.com/title/tt0304141/"">Harry Potter and the Prisoner of Azkaban</a>","1963-03-20"

"609","nm0001428","Mon Mar 10 11:27:31 2014","Mon Mar 10 11:27:31 2014","","Klaus Kinski","Actor, <a href=""http://www.imdb.com/title/tt0068182/"">Aguirre, der Zorn Gottes</a>"

"610","nm0000532","Mon Mar 10 11:27:38 2014","Mon Mar 10 11:27:38 2014","","Malcolm McDowell","Actor, <a href=""http://www.imdb.com/title/tt0066921/"">A Clockwork Orange</a>","1943-06-13"

"611","nm0935653","Mon Mar 10 11:27:46 2014","Mon Mar 10 11:27:46 2014","","Ray Winstone","Actor, <a href=""http://www.imdb.com/title/tt0407887/"">The Departed</a>","1957-02-19"

"612","nm0000901","Mon Mar 10 11:27:55 2014","Mon Mar 10 11:27:55 2014","","Jean-Paul Belmondo","Actor, <a href=""http://www.imdb.com/title/tt0053472/"">À bout de souffle</a>","1933-04-09"

"613","nm0785227","Mon Mar 10 11:28:01 2014","Mon Mar 10 11:28:01 2014","","Andy Serkis","Actor, <a href=""http://www.imdb.com/title/tt1318514/"">Rise of the Planet of the Apes</a>","1964-04-20"

"614","nm0000111","Mon Mar 10 11:28:08 2014","Mon Mar 10 11:28:08 2014","","Matthew Broderick","Actor, <a href=""http://www.imdb.com/title/tt0091042/"">Ferris Bueller's Day Off</a>","1962-03-21"

"615","nm0000454","Mon Mar 10 11:28:26 2014","Mon Mar 10 11:28:26 2014","","Dennis Hopper","Actor, <a href=""http://www.imdb.com/title/tt0111257/"">Speed</a>","1936-05-17"

"616","nm0740264","Mon Mar 10 11:28:34 2014","Mon Mar 10 11:28:34 2014","","Michael Rooker","Actor, <a href=""http://www.imdb.com/title/tt2015381/"">Guardians of the Galaxy</a>","1955-04-06"

"617","nm0001252","Mon Mar 10 11:28:41 2014","Mon Mar 10 11:28:41 2014","","Vincent Gallo","Actor, <a href=""http://www.imdb.com/title/tt0118789/"">Buffalo '66</a>","1961-04-11"

"618","nm0001536","Mon Mar 10 11:28:49 2014","Mon Mar 10 11:28:49 2014","","Toshirô Mifune","Actor, <a href=""http://www.imdb.com/title/tt0047478/"">Shichinin no samurai</a>","1920-04-01"

"619","nm0001993","Mon Mar 10 11:28:56 2014","Mon Mar 10 11:28:56 2014","","Vincent Cassel","Actor, <a href=""http://www.imdb.com/title/tt0947798/"">Black Swan</a>","1966-11-23"

"620","nm0799777","Sun Mar  8 12:11:57 2015","Sun Mar  8 12:11:57 2015","","J.K. Simmons","Actor, <a href=""http://www.imdb.com/title/tt2582802/"">Whiplash</a>","1955-01-09"

"621","nm0000472","Mon Mar 10 11:29:10 2014","Mon Mar 10 11:29:10 2014","","Boris Karloff","Actor, <a href=""http://www.imdb.com/title/tt0060345/"">How the Grinch Stole Christmas!</a>","1887-11-23"

"622","nm0000048","Mon Mar 10 11:29:26 2014","Mon Mar 10 11:29:26 2014","","Peter Lorre","Actor, <a href=""http://www.imdb.com/title/tt0034583/"">Casablanca</a>","1904-06-26"

"623","nm0000104","Mon Mar 10 11:29:36 2014","Mon Mar 10 11:29:36 2014","","Antonio Banderas","Actor, <a href=""http://www.imdb.com/title/tt0112851/"">Desperado</a>","1960-08-10"

"624","nm0175916","Mon Mar 10 11:29:42 2014","Mon Mar 10 11:29:42 2014","","Paddy Considine","Actor, <a href=""http://www.imdb.com/title/tt0440963/"">The Bourne Ultimatum</a>","1974-09-05"

"625","nm0000202","Mon Mar 10 11:29:48 2014","Mon Mar 10 11:29:48 2014","","Ryan Phillippe","Actor, <a href=""http://www.imdb.com/title/tt0418689/"">Flags of Our Fathers</a>","1974-09-10"

"651","nm0383603","Mon Mar 10 11:38:15 2014","Mon Mar 10 11:38:15 2014","","Freddie Highmore","Actor, <a href=""http://www.imdb.com/title/tt0367594/"">Charlie and the Chocolate Factory</a>","1992-02-14"

"652","nm0000150","Mon Mar 10 11:38:25 2014","Mon Mar 10 11:38:25 2014","","Michael J. Fox","Actor, <a href=""http://www.imdb.com/title/tt0088763/"">Back to the Future</a>","1961-06-09"

"653","nm0000552","Mon Mar 10 11:38:33 2014","Mon Mar 10 11:38:33 2014","","Eddie Murphy","Actor, <a href=""http://www.imdb.com/title/tt0086960/"">Beverly Hills Cop</a>","1961-04-03"

"654","nm0136797","Mon Mar 10 11:38:58 2014","Mon Mar 10 11:38:58 2014","","Steve Carell","Actor, <a href=""http://www.imdb.com/title/tt1248736/"">Stress Relief</a>","1962-08-16"

"655","nm0532235","Mon Mar 10 11:39:15 2014","Mon Mar 10 11:39:15 2014","","Seth MacFarlane","Writer, <a href=""http://www.imdb.com/title/tt1637725/"">Ted</a>","1973-10-26"

"656","nm0000045","Mon Mar 10 11:39:22 2014","Mon Mar 10 11:39:22 2014","","Bruce Lee","Actor, <a href=""http://www.imdb.com/title/tt0070034/"">Enter the Dragon</a>","1940-11-27"

"657","nm0001472","Mon Mar 10 11:39:27 2014","Mon Mar 10 11:39:27 2014","","Jet Li","Actor, <a href=""http://www.imdb.com/title/tt0299977/"">Ying xiong</a>","1963-04-26"

"658","nm0001569","Mon Mar 10 11:39:35 2014","Mon Mar 10 11:39:35 2014","","Chuck Norris","Actor, <a href=""http://www.imdb.com/title/tt1764651/"">The Expendables 2</a>","1940-03-10"

"659","nm0000241","Mon Mar 10 11:42:12 2014","Mon Mar 10 11:42:12 2014","","Jean-Claude Van Damme","Actor, <a href=""http://www.imdb.com/title/tt0101764/"">Double Impact</a>","1960-10-18"

"660","nm0005377","Mon Mar 10 11:42:18 2014","Mon Mar 10 11:42:18 2014","","Sam Rockwell","Actor, <a href=""http://www.imdb.com/title/tt1182345/"">Moon</a>","1968-11-05"

"661","nm0793766","Mon Mar 10 11:42:27 2014","Mon Mar 10 11:42:27 2014","","Takashi Shimura","Actor, <a href=""http://www.imdb.com/title/tt0047478/"">Shichinin no samurai</a>","1905-03-12"

"662","nm0001290","Mon Mar 10 11:42:34 2014","Mon Mar 10 11:42:34 2014","","Richard E. Grant","Actor, <a href=""http://www.imdb.com/title/tt0103874/"">Dracula</a>","1957-05-05"

"663","nm0000558","Mon Mar 10 11:42:44 2014","Mon Mar 10 11:42:44 2014","","Leslie Nielsen","Actor, <a href=""http://www.imdb.com/title/tt0095705/"">The Naked Gun: From the Files of Police Squad!</a>","1926-02-11"

"664","nm0670408","Mon Mar 10 11:42:52 2014","Mon Mar 10 11:42:52 2014","","Simon Pegg","Actor, <a href=""http://www.imdb.com/title/tt0365748/"">Shaun of the Dead</a>","1970-02-14"

"665","nm0000518","Mon Mar 10 11:43:00 2014","Mon Mar 10 11:43:00 2014","","John Malkovich","Actor, <a href=""http://www.imdb.com/title/tt0094947/"">Dangerous Liaisons</a>","1953-12-09"

"666","nm0788335","Mon Mar 10 11:43:07 2014","Mon Mar 10 11:43:07 2014","","Michael Shannon","Actor, <a href=""http://www.imdb.com/title/tt0770828/"">Man of Steel</a>","1974-08-07"

"667","nm0000640","Mon Mar 10 11:43:13 2014","Mon Mar 10 11:43:13 2014","","Martin Sheen","Actor, <a href=""http://www.imdb.com/title/tt0407887/"">The Departed</a>","1940-08-03"

"668","nm0001302","Mon Mar 10 11:43:21 2014","Mon Mar 10 11:43:21 2014","","Christopher Guest","Actor, <a href=""http://www.imdb.com/title/tt0088258/"">This Is Spinal Tap</a>","1948-02-05"

"669","nm0000614","Mon Mar 10 11:43:29 2014","Mon Mar 10 11:43:29 2014","","Alan Rickman","Actor, <a href=""http://www.imdb.com/title/tt1201607/"">Harry Potter and the Deathly Hallows: Part 2</a>","1946-02-21"

"670","nm0355097","Mon Mar 10 11:43:45 2014","Mon Mar 10 11:43:45 2014","","Jackie Earle Haley","Actor, <a href=""http://www.imdb.com/title/tt0409459/"">Watchmen</a>","1961-07-14"

"671","nm0001050","Mon Mar 10 11:44:00 2014","Mon Mar 10 11:44:00 2014","","Montgomery Clift","Actor, <a href=""http://www.imdb.com/title/tt0045793/"">From Here to Eternity</a>","1920-10-17"

"672","nm0000652","Mon Mar 10 11:44:06 2014","Mon Mar 10 11:44:06 2014","","James Spader","Actor, <a href=""http://www.imdb.com/title/tt0111282/"">Stargate</a>","1960-02-07"

"673","nm0051509","Mon Mar 10 11:44:13 2014","Mon Mar 10 11:44:13 2014","","Eric Bana","Actor, <a href=""http://www.imdb.com/title/tt0796366/"">Star Trek</a>","1968-08-09"

"674","nm0244151","Mon Mar 10 11:44:22 2014","Mon Mar 10 11:44:22 2014","","Romain Duris","Actor, <a href=""http://www.imdb.com/title/tt0283900/"">L'auberge espagnole</a>","1974-05-28"

"675","nm0001727","Mon Mar 10 11:44:31 2014","Mon Mar 10 11:44:31 2014","","Robert Shaw","Actor, <a href=""http://www.imdb.com/title/tt0073195/"">Jaws</a>","1927-08-09"

"701","nm0001647","Mon Mar 10 11:50:54 2014","Mon Mar 10 11:50:54 2014","","Claude Rains","Actor, <a href=""http://www.imdb.com/title/tt0034583/"">Casablanca</a>","1889-11-10"

"702","nm0000114","Mon Mar 10 11:51:00 2014","Mon Mar 10 11:51:00 2014","","Steve Buscemi","Actor, <a href=""http://www.imdb.com/title/tt0116282/"">Fargo</a>","1957-12-13"

"703","nm0753479","Mon Mar 10 11:51:08 2014","Mon Mar 10 11:51:08 2014","","Chishû Ryû","Actor, <a href=""http://www.imdb.com/title/tt0046438/"">Tôkyô monogatari</a>","1904-05-13"

"704","nm0004462","Mon Mar 10 11:53:25 2014","Mon Mar 10 11:53:25 2014","","Jean-Louis Trintignant","Actor, <a href=""http://www.imdb.com/title/tt1602620/"">Amour</a>","1930-12-11"

"705","nm0001072","Mon Mar 10 11:53:39 2014","Mon Mar 10 11:53:39 2014","","Joseph Cotten","Actor, <a href=""http://www.imdb.com/title/tt0033467/"">Citizen Kane</a>","1905-05-15"

"706","nm0001608","Mon Mar 10 11:53:49 2014","Mon Mar 10 11:53:49 2014","","Barry Pepper","Actor, <a href=""http://www.imdb.com/title/tt0120815/"">Saving Private Ryan</a>","1970-04-04"

"707","nm0002233","Mon Mar 10 11:54:01 2014","Mon Mar 10 11:54:01 2014","","Erich von Stroheim","Actor, <a href=""http://www.imdb.com/title/tt0043014/"">Sunset Blvd.</a>","1885-09-22"

"708","nm0557339","Mon Mar 10 11:54:26 2014","Mon Mar 10 11:54:26 2014","","Raymond Massey","Actor, <a href=""http://www.imdb.com/title/tt0036613/"">Arsenic and Old Lace</a>","1896-08-30"

"709","nm0000502","Mon Mar 10 11:54:47 2014","Mon Mar 10 11:54:47 2014","","Christopher Lloyd","Actor, <a href=""http://www.imdb.com/title/tt0088763/"">Back to the Future</a>","1938-10-22"

"710","nm0004936","Mon Mar 10 11:54:54 2014","Mon Mar 10 11:54:54 2014","","Ben Foster","Actor, <a href=""http://www.imdb.com/title/tt0381849/"">3:10 to Yuma</a>","1980-10-29"

"711","nm0566948","Mon Mar 10 11:55:01 2014","Mon Mar 10 11:55:01 2014","","Joel McCrea","Actor, <a href=""http://www.imdb.com/title/tt0032484/"">Foreign Correspondent</a>","1905-11-05"

"712","nm0158856","Mon Mar 10 11:55:07 2014","Mon Mar 10 11:55:07 2014","","Min-sik Choi","Actor, <a href=""http://www.imdb.com/title/tt0364569/"">Oldeuboi</a>","1962-01-22"

"713","nm0000191","Mon Mar 10 11:55:15 2014","Mon Mar 10 11:55:15 2014","","Ewan McGregor","Actor, <a href=""http://www.imdb.com/title/tt0121766/"">Star Wars: Episode III - Revenge of the Sith</a>","1971-03-31"

"714","nm0305558","Mon Mar 10 11:55:27 2014","Mon Mar 10 11:55:27 2014","","Gael García Bernal","Actor, <a href=""http://www.imdb.com/title/tt0245574/"">Y tu mamá también</a>","1978-11-30"

"715","nm0004486","Mon Mar 10 11:56:47 2014","Mon Mar 10 11:56:47 2014","","Bruno Ganz","Actor, <a href=""http://www.imdb.com/title/tt0363163/"">Der Untergang</a>","1941-03-22"

"716","nm0000276","Mon Mar 10 11:56:56 2014","Mon Mar 10 11:56:56 2014","","Sean Astin","Actor, <a href=""http://www.imdb.com/title/tt0167261/"">The Lord of the Rings: The Two Towers</a>","1971-02-25"

"717","nm0002113","Mon Mar 10 11:57:04 2014","Mon Mar 10 11:57:04 2014","","Sydney Greenstreet","Actor, <a href=""http://www.imdb.com/title/tt0034583/"">Casablanca</a>","1879-12-27"

"718","nm0618057","Mon Mar 10 11:57:12 2014","Mon Mar 10 11:57:12 2014","","Ulrich Mühe","Actor, <a href=""http://www.imdb.com/title/tt0405094/"">Das Leben der Anderen</a>","1953-06-20"

"719","nm0001702","Mon Mar 10 11:57:21 2014","Mon Mar 10 11:57:21 2014","","Roy Scheider","Actor, <a href=""http://www.imdb.com/title/tt0073195/"">Jaws</a>","1932-11-10"

"720","nm0000729","Mon Mar 10 11:57:26 2014","Mon Mar 10 11:57:26 2014","","Casey Affleck","Actor, <a href=""http://www.imdb.com/title/tt0452623/"">Gone Baby Gone</a>","1975-08-12"

"721","nm0000997","Mon Mar 10 11:57:33 2014","Mon Mar 10 11:57:33 2014","","Gary Busey","Actor, <a href=""http://www.imdb.com/title/tt0093409/"">Lethal Weapon</a>","1944-06-29"

"722","nm5831542","Mon Mar 10 12:01:31 2014","Mon Mar 10 12:01:31 2014","","Barkhad Abdi","Actor, <a href=""http://www.imdb.com/title/tt1535109/"">Captain Phillips</a>","1985-04-10"

"723","nm0001099","Mon Mar 10 12:01:39 2014","Mon Mar 10 12:01:39 2014","","Jeff Daniels","Actor, <a href=""http://www.imdb.com/title/tt0109686/"">Dumb & Dumber</a>","1955-02-19"

"724","nm0001804","Mon Mar 10 12:02:03 2014","Mon Mar 10 12:02:03 2014","","Stanley Tucci","Actor, <a href=""http://www.imdb.com/title/tt1392170/"">The Hunger Games</a>","1960-11-11"

"725","nm0000662","Mon Mar 10 12:02:11 2014","Mon Mar 10 12:02:11 2014","","Kiefer Sutherland","Actor, <a href=""http://www.imdb.com/title/tt0502165/"">12:00 a.m.-1:00 a.m.</a>","1966-12-21"

"751","nm0000982","Mon Mar 10 13:04:11 2014","Mon Mar 10 13:04:11 2014","","Josh Brolin","Actor, <a href=""http://www.imdb.com/title/tt1175491/"">W.</a>","1968-02-12"

"752","nm0001358","Mon Mar 10 13:04:18 2014","Mon Mar 10 13:04:18 2014","","Hal Holbrook","Actor, <a href=""http://www.imdb.com/title/tt0758758/"">Into the Wild</a>","1925-02-17"

"753","nm0005023","Mon Mar 10 13:04:25 2014","Mon Mar 10 13:04:25 2014","","Djimon Hounsou","Actor, <a href=""http://www.imdb.com/title/tt0172495/"">Gladiator</a>","1964-04-24"

"754","nm0000369","Mon Mar 10 13:04:32 2014","Mon Mar 10 13:04:32 2014","","Matt Dillon","Actor, <a href=""http://www.imdb.com/title/tt0129387/"">There's Something About Mary</a>","1964-02-18"

"755","nm0000257","Mon Mar 10 13:05:05 2014","Mon Mar 10 13:05:05 2014","","Alan Alda","Actor, <a href=""http://www.imdb.com/title/tt0338751/"">The Aviator</a>","1936-01-28"

"756","nm0002006","Mon Mar 10 13:05:15 2014","Mon Mar 10 13:05:15 2014","","Thomas Haden Church","Actor, <a href=""http://www.imdb.com/title/tt0375063/"">Sideways</a>","1960-06-17"

"757","nm0654110","Mon Mar 10 13:05:21 2014","Mon Mar 10 13:05:21 2014","","Clive Owen","Actor, <a href=""http://www.imdb.com/title/tt0206634/"">Children of Men</a>","1964-10-03"

"758","nm0913822","Mon Mar 10 13:05:30 2014","Mon Mar 10 13:05:30 2014","","Ken Watanabe","Actor, <a href=""http://www.imdb.com/title/tt1375666/"">Inception</a>","1959-10-21"

"759","nm4139037","Mon Mar 10 13:05:36 2014","Mon Mar 10 13:05:36 2014","","Suraj Sharma","Actor, <a href=""http://www.imdb.com/title/tt0454876/"">Life of Pi</a>","1993-03-21"

"760","nm0000604","Mon Mar 10 13:05:42 2014","Mon Mar 10 13:05:42 2014","","John C. Reilly","Actor, <a href=""http://www.imdb.com/title/tt0415306/"">Talladega Nights: The Ballad of Ricky Bobby</a>","1965-05-24"

"761","nm0003817","Mon Mar 10 13:05:51 2014","Mon Mar 10 13:05:51 2014","","Michael Clarke Duncan","Actor, <a href=""http://www.imdb.com/title/tt0120689/"">The Green Mile</a>","1957-12-10"

"762","nm0005286","Mon Mar 10 13:06:01 2014","Mon Mar 10 13:06:01 2014","","Haley Joel Osment","Actor, <a href=""http://www.imdb.com/title/tt0167404/"">The Sixth Sense</a>","1988-04-10"

"763","nm0001427","Mon Mar 10 13:06:08 2014","Mon Mar 10 13:06:08 2014","","Greg Kinnear","Actor, <a href=""http://www.imdb.com/title/tt0449059/"">Little Miss Sunshine</a>","1963-06-17"

"764","nm0000608","Mon Mar 10 13:06:17 2014","Mon Mar 10 13:06:17 2014","","Burt Reynolds","Actor, <a href=""http://www.imdb.com/title/tt0118749/"">Boogie Nights</a>","1936-02-11"

"765","nm0001233","Mon Mar 10 13:06:26 2014","Mon Mar 10 13:06:26 2014","","Robert Forster","Actor, <a href=""http://www.imdb.com/title/tt0119396/"">Jackie Brown</a>","1941-07-13"

"766","nm0005403","Mon Mar 10 13:06:34 2014","Mon Mar 10 13:06:34 2014","","Jason Schwartzman","Actor, <a href=""http://www.imdb.com/title/tt0128445/"">Rushmore</a>","1980-06-26"

"767","nm0000513","Mon Mar 10 13:06:42 2014","Mon Mar 10 13:06:42 2014","","William H. Macy","Actor, <a href=""http://www.imdb.com/title/tt0116282/"">Fargo</a>","1950-03-13"

"768","nm0000090","Mon Mar 10 13:06:53 2014","Mon Mar 10 13:06:53 2014","","Armin Mueller-Stahl","Actor, <a href=""http://www.imdb.com/title/tt0119174/"">The Game</a>","1930-12-17"

"769","nm0000619","Mon Mar 10 13:07:02 2014","Mon Mar 10 13:07:02 2014","","Tim Roth","Actor, <a href=""http://www.imdb.com/title/tt0110912/"">Pulp Fiction</a>","1961-05-14"

"770","nm0000342","Mon Mar 10 13:07:08 2014","Mon Mar 10 13:07:08 2014","","James Cromwell","Actor, <a href=""http://www.imdb.com/title/tt0120689/"">The Green Mile</a>","1940-01-27"

"771","nm0001590","Mon Mar 10 13:07:18 2014","Mon Mar 10 13:07:18 2014","","Chazz Palminteri","Actor, <a href=""http://www.imdb.com/title/tt0114814/"">The Usual Suspects</a>","1952-05-15"

"772","nm0000641","Mon Mar 10 13:07:31 2014","Mon Mar 10 13:07:31 2014","","Gary Sinise","Actor, <a href=""http://www.imdb.com/title/tt0112384/"">Apollo 13</a>","1955-03-17"

"773","nm0006890","Mon Mar 10 13:07:38 2014","Mon Mar 10 13:07:38 2014","","Paul Scofield","Actor, <a href=""http://www.imdb.com/title/tt0060665/"">A Man for All Seasons</a>","1922-01-21"

"774","nm0000592","Mon Mar 10 13:07:48 2014","Mon Mar 10 13:07:48 2014","","Pete Postlethwaite","Actor, <a href=""http://www.imdb.com/title/tt1375666/"">Inception</a>","1946-02-07"

"775","nm0001601","Mon Mar 10 13:07:55 2014","Mon Mar 10 13:07:55 2014","","David Paymer","Actor, <a href=""http://www.imdb.com/title/tt1127180/"">Drag Me to Hell</a>","1954-08-30"

"801","nm0000152","Mon Mar 10 13:24:03 2014","Mon Mar 10 13:24:03 2014","","Richard Gere","Actor, <a href=""http://www.imdb.com/title/tt0100405/"">Pretty Woman</a>","1949-08-31"

"802","nm0296545","Mon Mar 10 13:24:26 2014","Mon Mar 10 13:24:26 2014","","Nick Frost","Actor, <a href=""http://www.imdb.com/title/tt0365748/"">Shaun of the Dead</a>","1972-03-28"

